indice_tiempo,tipo_cambio_real_multilateral_actual,tipo_cambio_real_brasil,tipo_cambio_real_canada,tipo_cambio_real_chile,tipo_cambio_real_estados_unidos,tipo_cambio_real_mexico,tipo_cambio_real_uruguay,tipo_cambio_real_china,tipo_cambio_real_india,tipo_cambio_real_japon,tipo_cambio_real_reino_unido,tipo_cambio_real_suiza,tipo_cambio_real_zona_euro,tipo_cambio_real_vietnam
2003-04-19,148.08872810241346,134.26218101687422,171.3002362550778,146.6500913964514,169.91774641753014,215.69110263006291,91.40205596879805,124.34387679940981,123.31677432969873,116.70210493255951,175.4758478340506,154.26075554742323,179.98231679151203,114.16172293825572
2003-04-20,148.1016804349568,134.30284751183444,171.2581019586358,146.64271909682333,169.89293494483383,215.69928381692978,91.42916700804221,124.33178148853848,123.36228846171883,116.74242008309855,175.49169720172156,154.26796779671514,179.98852873651805,114.15956433092977
2003-04-21,146.52928796164588,134.69601428195062,168.85532069309383,144.4905103004123,167.5491082951875,214.4393654137024,90.20723564612145,122.5298148505986,121.68573769213616,114.03676740647269,171.3551773945804,150.16484781179972,176.6748523145801,112.59894288708955
2003-04-22,144.6574204201885,132.08726626168638,167.2708175432394,142.19553558609798,165.2059625165214,210.83839523415944,88.98545496628684,120.81955939954938,120.08778490738459,113.14306241137088,170.7309524439428,150.0152015089893,175.8246056697791,111.02760975446213
2003-04-23,144.76161528950178,133.41457802234308,166.12645275639295,142.97474833891545,164.60225366060857,211.28709636268147,88.38695344933879,120.0686854750831,119.4000049112123,112.2773004751338,170.79462116881004,149.0503287164017,175.1497427398081,110.61448811731668
2003-04-24,145.97356689549312,133.86080219853474,166.7498746462728,143.86110805880716,165.73721989651028,215.09749885609853,88.41317016993918,120.65775642535924,120.05443681209299,113.69288334418175,173.20822425271115,151.7951837704344,177.677968155387,111.37695523948022
2003-04-25,146.26697600901167,134.70417266679175,167.58334537619916,143.3892547508688,165.7130188663476,214.383598320726,88.43939466676005,121.63037082200023,121.0245718813269,113.27942251028888,172.6805066053374,151.7576568652035,177.78075556342765,111.39645309890443
2003-04-26,146.2797690050597,134.74497303601996,167.54212531423542,143.38204637793558,165.68882137003118,214.39172991381284,88.46562694210795,121.61853946219098,121.06924000026059,113.3185552832077,172.6961034915903,151.76475208556192,177.7868915233173,111.39434677820815
2003-04-27,146.29256312002576,134.78578576321829,167.5009153910687,143.37483836737715,165.6646274070451,214.39986181533203,88.49186699829013,121.60670925325451,121.11392460544026,113.35770157467994,172.71170178658863,151.77184763764768,177.7930276949848,111.39224049733893
2003-04-28,146.42737032124586,135.77649865712084,167.30965016153638,144.36820241910962,165.64043697687333,215.00587081159142,88.21007179797952,120.9605162541612,120.46294203147292,113.32053199172178,172.83600337937736,150.73771803659952,177.00973321219553,111.37933191581529
2003-04-29,146.97641014611028,137.69843906247073,167.58509239306895,144.6110751831036,165.03717228152104,216.11212894437517,86.71858554345495,120.71617256722116,120.29598575194326,113.44557920270506,172.46390122912987,151.04440813697636,177.48864989216898,111.012915162637
2003-04-30,146.58292995054492,138.3203084874381,166.8328318769399,143.53187206374312,163.27609375188973,214.34453641830368,85.83114416917296,119.63746061682684,119.34609662689019,113.41316111571176,171.62871360136197,150.36628275339265,177.46925579964912,109.84228118774925
2003-05-01,146.60512734994848,138.36488451817178,166.85911000784645,143.53186661351737,163.28803702827838,214.34919889577833,85.852189644029,119.64872694074073,119.3738448425745,113.38747163918106,171.65224881204827,150.37768961539618,177.48809309235276,109.85162367901486
2003-05-02,144.50776090510195,134.01259040897162,166.6917581501395,142.74577678549937,161.5627473359683,214.00916195013244,84.95962918060015,118.18829692234789,117.95799466466691,111.9016411986897,170.27380748657123,150.04092577407386,176.59325871053437,108.6781776377668
2003-05-03,144.5296762541621,134.05577820557275,166.71801406027683,142.7457713651234,161.5745652849478,214.01381713245542,84.98046096324741,118.19942677773841,117.985420143758,111.8762941000193,170.29715690083566,150.0523079543329,176.61200302142262,108.68742111773064
2003-05-04,144.55159492679832,134.09897992016312,166.7442741060284,142.7457659447477,161.58638409838352,214.01847241603912,85.00129785376971,118.21055768123344,118.01285199933004,111.85095274277859,170.32050951697337,150.06369099804988,176.63074932190662,108.69666538388657
